ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cuenca Mediterránea Andaluza,Rules,5,91.0909090909091,87.0,94.27000000000001,91.78
Cuenca Mediterránea Andaluza,Rules,6,98.3,99.8,96.47,93.925
Cuenca Mediterránea Andaluza,Rules,7,94.625,96.75,94.91,91.94500000000001
Cuenca Mediterránea Andaluza,Rules,8,89.33333333333333,90.6,90.1,86.92999999999999
Cuenca Mediterránea Andaluza,Rules,9,81.33333333333333,81.25,84.33,81.22999999999999
Cuenca Mediterránea Andaluza,Rules,10,75.375,75.0,79.59,76.30499999999999
Cuenca Mediterránea Andaluza,Rules,11,70.33333333333333,69.2,75.84,75.205
Cuenca Mediterránea Andaluza,Rules,12,69.66666666666667,65.25,74.99,74.765
Cuenca Mediterránea Andaluza,"Viñuela, La",1,42.0,37.875,54.370000000000005,90.175
Cuenca Mediterránea Andaluza,"Viñuela, La",2,44.25,38.875,56.4,91.0
Cuenca Mediterránea Andaluza,"Viñuela, La",3,44.53333333333333,39.6,61.529999999999994,93.37
Cuenca Mediterránea Andaluza,"Viñuela, La",4,48.5,40.375,65.7,95.28999999999999
Cuenca Mediterránea Andaluza,"Viñuela, La",5,51.45454545454545,42.57142857142857,66.5,95.16
Cuenca Mediterránea Andaluza,"Viñuela, La",6,58.2,51.6,63.92999999999999,92.42
Cuenca Mediterránea Andaluza,"Viñuela, La",7,54.0,47.5,59.7,87.92999999999999
Cuenca Mediterránea Andaluza,"Viñuela, La",8,48.22222222222222,42.2,54.58,82.685
Cuenca Mediterránea Andaluza,"Viñuela, La",9,45.0,37.5,50.15,78.22
Cuenca Mediterránea Andaluza,"Viñuela, La",10,40.25,34.0,46.660000000000004,75.025
Cuenca Mediterránea Andaluza,"Viñuela, La",11,36.888888888888886,31.0,45.9,75.94500000000001
Cuenca Mediterránea Andaluza,"Viñuela, La",12,37.22222222222222,28.25,46.739999999999995,77.89500000000001
Cuencas Internas de Cataluña,Boadella,1,35.0,36.625,36.95,39.614999999999995
Cuencas Internas de Cataluña,Boadella,2,42.0,36.5,43.15,42.575
Cuencas Internas de Cataluña,Boadella,3,43.86666666666667,39.7,45.83,46.489999999999995
Cuencas Internas de Cataluña,Boadella,4,48.416666666666664,45.25,47.760000000000005,49.36
Cuencas Internas de Cataluña,Boadella,5,50.81818181818182,46.857142857142854,50.07,50.725
Cuencas Internas de Cataluña,Boadella,6,53.2,48.6,49.68,49.58
Cuencas Internas de Cataluña,Boadella,7,46.375,38.75,42.43,41.894999999999996
Cuencas Internas de Cataluña,Boadella,8,36.333333333333336,29.2,33.15,33.44
Cuencas Internas de Cataluña,Boadella,9,33.55555555555556,25.0,28.23,29.03
Cuencas Internas de Cataluña,Boadella,10,32.125,24.0,27.97,28.685000000000002
Cuencas Internas de Cataluña,Boadella,11,31.22222222222222,23.8,30.910000000000004,31.24
Cuencas Internas de Cataluña,Boadella,12,36.888888888888886,25.5,35.69,35.975
Cuencas Internas de Cataluña,La Baells,1,88.5,79.625,87.22999999999999,86.07000000000001
Cuencas Internas de Cataluña,La Baells,2,86.75,77.0,89.7,85.675
Cuencas Internas de Cataluña,La Baells,3,87.0,77.9,98.07000000000001,89.96000000000001
Cuencas Internas de Cataluña,La Baells,4,87.58333333333333,78.75,101.82000000000001,95.275
Cuencas Internas de Cataluña,La Baells,5,92.72727272727273,85.85714285714286,105.1,103.44500000000001
